Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.464332   278.513863   1037.024933   2544.980400   3482.391434
0.470582   284.802115   1036.868730   2538.084385   3465.229883
0.476832   288.966397   1036.082464   2964.208031   3359.141167
0.483082   290.346561   1040.777072   3075.471598   3351.461463
0.489332   289.384142   1019.417712   2669.541751   3404.640202
0.495582   288.744416   1010.515934   2432.421335   3426.158984
0.501832   289.532194   1000.270026   2319.096079   3478.412711
0.508082   292.074947   992.477273   2337.375960   3489.584610
0.514332   292.449630   987.520513   2431.676328   3490.489858
0.520582   295.838100   983.281222   2527.172654   3586.914147
0.526832   294.636145   980.964635   2707.647482   3784.141727
0.533082   291.594101   985.702847   2743.470758   3978.690999
0.539332   293.932485   992.140851   2840.802273   3938.666357
0.545582   293.861425   1006.489812   2929.771789   3844.910897
0.551832   292.273433   991.013290   2759.777967   3470.688357
0.558082   292.525453   986.360711   2561.468760   3487.119876
0.564332   294.342188   992.487420   2565.778074   3475.907296
0.570582   296.031155   996.581320   2434.471222   3499.052595
0.576832   295.368678   995.834969   2387.452712   3543.714248
0.583082   293.223477   991.865760   2600.003170   3606.737727
0.589332   292.762163   1009.648632   2705.248982   3608.117974
0.595582   296.457614   1021.889668   2734.937292   3565.687943
0.601832   298.546058   996.877164   2509.936793   3553.700793
0.608082   300.494231   1001.353947   2536.509277   3568.946923
0.614332   295.618924   980.931380   2605.625813   3596.095779
0.620582   301.060429   994.502078   2698.305235   3716.128165
0.626832   302.859938   1007.999124   2881.931093   3879.258097
0.633082   308.251339   1005.722304   2964.420911   3542.624689
0.639332   307.099468   1028.357581   2507.471885   3523.224441
0.645582   301.438514   974.248916   2386.126909   3564.020541
0.651832   297.643165   971.083804   2311.228455   3586.527964
0.658082   297.510443   1015.926505   2693.953136   3559.050026
0.664332   293.406591   998.957621   2811.624496   3618.132709
0.670582   290.658822   981.046600   2729.544473   3554.846329
0.676832   289.823347   990.478044   2729.338686   3417.069682
0.683082   289.493818   999.465636   2782.364338   3412.944773
0.689332   287.476447   986.425678   2905.508958   3595.700950
