Time_s   F1_Hz   F2_Hz   F3_Hz   F4_Hz
0.319585   718.627695   1344.933924   2911.460667   4076.820529
0.325835   756.775714   1331.113507   2870.153621   4042.243931
0.332085   651.140803   1251.997392   2904.385604   4033.398905
0.338335   593.099598   1227.239694   2860.426704   4033.643530
0.344585   569.790297   1220.985781   2905.635750   3974.004371
0.350835   609.688607   1228.489482   2887.938039   3943.741582
0.357085   591.876144   1209.062544   2892.702017   3914.037063
0.363335   567.566291   1214.518279   2977.499609   3934.695054
0.369585   598.317267   1234.710833   2973.985489   3986.708941
0.375835   548.689536   1218.448199   2998.019494   3982.249828
0.382085   515.612200   1198.577172   2984.190258   4013.369205
0.388335   515.104338   1196.599405   2913.025784   4002.124695
0.394585   516.326529   1178.055115   2897.090956   4036.957500
0.400835   502.432915   1171.445202   2882.308759   3993.347247
0.407085   528.959732   1213.738274   2911.155114   4029.178611
0.413335   535.510592   1205.171894   2911.049935   4057.510944
0.419585   544.255303   1192.799985   2897.535741   4030.179098
0.425835   584.395926   1217.350954   2847.353510   3955.661552
0.432085   612.242579   1226.358735   2891.038851   4002.950521
0.438335   586.916414   1215.844210   2908.345573   3955.186513
0.444585   624.258493   1222.661735   2949.615564   3960.207799
0.450835   641.519818   1231.322622   2935.636296   3974.192063
0.457085   630.533354   1230.542712   2924.595434   4010.421872
0.463335   613.017502   1222.774126   2954.466005   4021.861895
0.469585   624.018759   1225.511748   2886.546162   3992.715876
0.475835   627.574616   1234.518427   2932.360026   3990.286288
0.482085   643.005379   1230.285171   2935.493711   4002.334091
0.488335   640.911816   1228.498106   2875.160502   3970.799182
0.494585   647.894663   1233.154345   2872.772380   3921.019726
0.500835   652.680932   1232.421776   2971.750610   3938.603147
0.507085   642.042743   1236.153805   2939.283582   3900.102598
0.513335   668.097113   1245.207218   2951.413694   3950.115526
0.519585   677.154936   1243.734700   2886.796733   3878.042430
0.525835   670.251820   1235.417999   2853.904276   3881.485249
0.532085   661.949758   1234.682712   2867.094826   3933.286639
0.538335   681.415182   1235.101811   2907.395511   3864.684607
0.544585   681.529397   1238.118735   2853.655034   3884.850108
0.550835   681.956883   1266.193414   2828.671785   3928.123146
0.557085   678.810293   1251.749885   2839.767979   3910.929242
0.563335   673.762664   1234.171862   2838.464975   3934.745298
0.569585   648.656422   1221.868573   2865.733361   3928.854242
0.575835   637.396980   1200.376093   2873.802018   3996.300499
0.582085   619.184729   1183.231588   2889.627840   3945.798375
0.588335   665.112776   1220.134168   2894.055213   3910.503365
0.594585   677.368172   1244.270167   2866.533318   3911.048593
0.600835   682.257679   1248.025713   2850.391376   3917.107886
0.607085   689.189927   1254.045500   2838.960465   3865.832563
0.613335   669.686550   1225.733431   2860.351062   3844.493258
0.619585   669.204565   1234.312052   2898.351993   3867.944535
0.625835   690.607233   1257.279057   2916.543072   3813.260302
0.632085   661.237032   1228.473063   2893.758030   3839.447338
0.638335   628.806235   1195.526472   2901.365594   3872.834526
0.644585   629.176201   1215.207559   2930.332002   3963.660368
0.650835   672.502416   1232.269930   2904.944407   4047.950296
0.657085   676.038217   1244.138951   2889.481845   3944.056484
0.663335   697.200188   1254.769019   2848.175290   3965.970217
0.669585   707.730889   1268.023900   2857.569741   3997.447476
0.675835   707.601766   1252.527974   2824.732787   3974.788369
0.682085   708.924694   1236.110148   2778.712873   3973.717944
0.688335   708.666450   1244.628530   2899.856623   4010.645080
0.694585   698.638351   1256.955966   2872.121942   4013.909136
0.700835   716.964243   1259.667358   2819.666509   4002.569414
0.707085   704.686895   1253.059510   2852.019006   3995.163094
0.713335   687.173996   1243.650960   2894.882469   3983.714675
0.719585   676.130231   1249.313486   2888.080256   3916.733220
0.725835   696.032765   1267.500940   2870.871696   3956.068638
0.732085   680.136916   1249.520105   2883.688629   3987.541194
0.738335   676.782555   1254.518395   2863.533652   3978.056061
0.744585   704.889585   1262.014480   2835.860874   3995.834216
0.750835   677.440129   1242.377698   2831.112197   4030.390212
0.757085   663.343626   1228.868353   2857.931460   3946.195391
0.763335   654.635787   1221.589624   2823.544117   3917.659550
0.769585   676.255235   1240.922866   2813.545658   3900.708007
0.775835   692.325708   1253.911208   2800.643867   3930.890002
0.782085   696.956595   1246.698667   2795.184476   4031.644498
0.788335   689.252779   1240.153030   2821.828520   3994.128425
0.794585   709.010738   1274.710864   2826.426850   3914.760127
0.800835   716.345784   1285.925957   2815.597964   3995.351533
0.807085   716.986802   1284.271303   2830.491951   4029.149198
0.813335   712.676226   1297.245328   2854.054586   4006.603260
0.819585   708.140755   1282.697411   2851.394185   4026.549338
0.825835   711.256765   1268.264171   2811.282912   4050.302753
0.832085   708.262747   1272.425681   2798.700263   3969.024045
0.838335   704.786515   1266.997891   2827.201921   3929.345145
0.844585   724.662286   1275.372132   2838.457448   4005.223597
0.850835   728.500554   1255.259701   2804.814660   4016.976566
0.857085   716.160633   1250.178755   2812.855687   4001.861756
0.863335   717.604718   1262.612597   2804.133370   4002.715033
0.869585   715.791691   1260.677052   2795.265280   4047.285737
0.875835   718.050875   1278.586836   2826.461559   3991.000532
0.882085   718.710823   1286.859319   2843.866617   4009.887382
0.888335   718.241433   1286.897560   2814.943101   4090.792770
0.894585   726.244453   1280.844671   2820.441842   4039.801498
0.900835   722.771048   1258.988984   2803.899247   4053.763795
0.907085   712.529798   1228.767962   2825.860056   3992.033868
0.913335   715.001661   1229.571789   2812.309524   3858.957542
0.919585   711.808231   1225.247563   2790.811179   3900.454256
0.925835   699.550991   1210.570978   2833.636038   3868.429425
0.932085   699.123211   1212.060944   2848.223265   3910.999650
0.938335   718.533863   1257.576992   2828.668229   3937.049237
0.944585   716.646911   1254.574398   2831.665376   3921.459530
0.950835   711.868738   1216.131020   2830.555951   3891.498903
0.957085   707.586047   1223.465596   2862.837512   3953.257670
0.963335   715.337334   1228.998792   2828.472307   3950.910947
0.969585   725.296333   1244.109614   2801.932099   4023.178556
0.975835   720.122729   1214.148738   2803.025326   4025.888368
0.982085   714.645834   1221.438299   2822.135458   4097.350394
0.988335   720.632540   1229.166270   2808.788404   4025.819551
0.994585   716.734151   1221.125769   2804.601309   3998.696160
1.000835   716.455732   1225.779685   2794.476086   4021.582754
